test_size,epochs,nblayers,fake,r2,evs,mae,time
0.99,14,1,1,0.5237955349635424,0.5238221357935811,0.512005996764365,1.2729132175445557
0.99,15,1,1,0.6556553677605537,0.6558741564714305,0.41997522669699033,1.323105812072754
0.99,16,1,1,0.5179329615293123,0.5180413650537793,0.5187511443503785,1.6631834506988525
0.99,17,1,1,0.6611326727197513,0.6636062402439995,0.41417787753708335,1.5541718006134033
0.99,18,1,1,0.46155000430998616,0.5126998774434677,0.511044745395779,1.5369985103607178
0.99,19,1,1,0.6593057003881897,0.6652926621075445,0.40263701942514196,1.6512901782989502
0.99,20,1,1,0.6198349874582745,0.6366227158421304,0.4480075545064586,1.6629128456115723
0.995,1,1,1,0.09825529122428611,0.11148860663928739,0.7280057451482539,0.46007466316223145
0.995,2,1,1,0.11953837511471477,0.1912752188756588,0.7529458193707417,0.5249946117401123
0.995,3,1,1,-0.27352175001695045,-0.24696037661834258,0.8561488008353891,0.5881102085113525
0.995,4,1,1,0.13556871641601476,0.1459712613429841,0.7012914291490367,0.6157333850860596
0.995,5,1,1,-0.17842800045367868,-0.15167693695747508,0.8658671369911572,0.7077195644378662
0.995,6,1,1,0.2587250067344431,0.26346743674922946,0.6533433995629542,1.005591630935669
0.995,7,1,1,0.34690936222754676,0.370920521512925,0.5911703699615245,0.8968241214752197
0.995,8,1,1,0.21119518476450216,0.21124379192623566,0.6943761463590379,0.9415547847747803
0.995,9,1,1,0.25651883295062483,0.2642116013164614,0.6570688860592687,0.9679362773895264
0.995,10,1,1,0.325194666044452,0.32524436497413256,0.6345555813363145,1.036003828048706
0.995,11,1,1,0.17780105085930353,0.19900089815353117,0.6934185734008931,1.0491392612457275
0.995,12,1,1,0.44673125008114,0.4468294861532155,0.5363339007049682,1.1751976013183594
0.995,13,1,1,0.36013188776449934,0.36020454346577735,0.597712570434681,1.2177183628082275
0.995,14,1,1,0.5244417912400522,0.5244872517618575,0.5045109815518672,1.3831307888031006
0.995,15,1,1,0.3943087147352201,0.4012184686267881,0.5839862917378693,1.6225972175598145
0.995,16,1,1,0.5540805336430596,0.5560034173676887,0.4955627943714288,1.450916051864624
0.995,17,1,1,0.5244278954518755,0.5430352055130789,0.519845144494938,1.6184406280517578
0.995,18,1,1,0.432335873535703,0.43534576106837675,0.5487443668507722,1.642038345336914
0.995,19,1,1,0.5467538968400969,0.5500922177204068,0.5128942212765252,1.6551525592803955
0.995,20,1,1,0.5531739295439726,0.5602267662569266,0.5033072161631247,1.6573078632354736
